Name,Branch,Place,Exams Accepted,Fees
"Dayananda Sagar College of Engineering, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 198,000"
"Manipal Institute of Technology, Manipal",B.Tech Aeronautical Engineering,"Manipal, Karnataka",MET,"Fees:  ₹ 1,540,000"
"Indian Institute of Space Science and Technology, Thiruvananthapuram",B.Tech Avionics,"Thiruvananthapuram, Kerala",JEE,"Fees:  ₹ 272,000"
"Kumaraguru College of Technology, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Bannari Amman Institute of Technology, Erode",BE Aeronautical Engineering,"Erode, Tamil Nadu",JEE,"Fees:  ₹ 200,000"
"Acharya Institute of Technology, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 188,000"
"Sathyabama Institute of Science and Technology, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",SAEEE,"Fees:  ₹ 70,000"
"School of Engineering and Technology, Jain University, Bangalore",B.Tech Aeronautical Engineering,"Bangalore, Karnataka",NA,"Exams:  Uni-Gauge-E ,  JET "
"Madras Institute of Technology, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,NA
"Nitte Meenakshi Institute of Technology, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 243,000"
"Hindustan Institute of Technology and Science, Chennai",B.Tech Aeronautical Engineering,"Chennai, Tamil Nadu",HITSEEE,"Fees:  ₹ 1,062,500"
"KLS Gogte Institute of Technology, Belagavi",BE Aeronautical Engineering,"Belgaum, Karnataka",COMEDK,"Fees:  ₹ 213,840"
"BS Abdur Rahman Institute of Science and Technology, Chennai",B.Tech Aeronautical Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 630,000"
"Malla Reddy College of Engineering and Technology, Hyderabad",B.Tech Aeronautical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 280,000"
"Institute of Aeronautical Engineering, Dundigal",B.Tech Aeronautical Engineering,"Domara Pocham Pally, Telangana",TS,"Fees:  ₹ 268,000"
"Rajalakshmi Engineering College, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"MVJ College of Engineering, Bangalore",B.Tech Aeronautical Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 923,000"
"Sri Ramakrishna Engineering College, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"MLR Institute of Technology, Dundigal",B.Tech Aeronautical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 280,000"
"Hindusthan College of Engineering and Technology, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Sandip University, Nashik",B.Tech Aeronautical Engineering,"Nashik, Maharashtra",NA,NA
"Srinivas Institute of Technology, Mangalore",BE Aeronautical Engineering,"Arkula, Karnataka",COMEDK,"Fees:  ₹ 316,000"
