Name,Branch,Place,Exams Accepted,Fees
"University of Petroleum and Energy Studies, Dehradun","B.Sc-Food, Nutrition and Dietetics","Dehradun, Uttarakhand",NA,"Fees:  ₹ 344,000"
"Dayananda Sagar College of Engineering, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 198,000"
"Manipal Institute of Technology, Manipal",B.Tech Aeronautical Engineering,"Manipal, Karnataka",MET,"Fees:  ₹ 1,540,000"
"Maharaja Sayajirao University of Baroda, Vadodara",BE Civil Irrigation and Water Engineering,"Vadodara, Gujarat",GUJCET,"Fees:  ₹ 35,500"
"Indian Institute of Space Science and Technology, Thiruvananthapuram",B.Tech Avionics,"Thiruvananthapuram, Kerala",JEE,"Fees:  ₹ 272,000"
"Integral University, Lucknow",B.Tech Agricultural Engineering,"Lucknow, Uttar Pradesh",JEE,"Fees:  ₹ 320,000"
"Kumaraguru College of Technology, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 220,000"
Indian Institute of Technology Kharagpur,B.Tech Agricultural and Food Engineering,"Kharagpur, West Bengal",JEE,"Fees:  ₹ 847,500"
"College of Engineering, Guindy",BE Agricultural and Irrigation,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 129,560"
"Bannari Amman Institute of Technology, Erode",BE Aeronautical Engineering,"Erode, Tamil Nadu",JEE,"Fees:  ₹ 200,000"
"Acharya Institute of Technology, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 188,000"
"Sathyabama Institute of Science and Technology, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",SAEEE,"Fees:  ₹ 70,000"
"School of Engineering and Technology, Jain University, Bangalore",B.Tech Aeronautical Engineering,"Bangalore, Karnataka",NA,"Exams:  Uni-Gauge-E ,  JET "
"Madras Institute of Technology, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,NA
"Nitte Meenakshi Institute of Technology, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 243,000"
"Aditya Engineering College, Surampalem",B.Tech Agricultural Engineering,"Surampalem, Andhra Pradesh",NA,"Fees:  ₹ 227,000"
"Hindustan Institute of Technology and Science, Chennai",B.Tech Aeronautical Engineering,"Chennai, Tamil Nadu",HITSEEE,"Fees:  ₹ 1,062,500"
"KLS Gogte Institute of Technology, Belagavi",BE Aeronautical Engineering,"Belgaum, Karnataka",COMEDK,"Fees:  ₹ 213,840"
"Karunya Institute of Technology and Sciences, Coimbatore",B.Tech Agricultural Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 724,000"
"GIET University, Gunupur",B.Tech Agricultural Engineering,"Gunupur, Odisha",JEE,"Fees:  ₹ 456,000"
"BS Abdur Rahman Institute of Science and Technology, Chennai",B.Tech Aeronautical Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 630,000"
"Sharda University, Greater Noida",B.Tech Agriculture Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 656,000"
"Malla Reddy College of Engineering and Technology, Hyderabad",B.Tech Aeronautical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 280,000"
"College of Technology, GB Pant University of Agriculture and Technology, Pantnagar",B.Tech Agricultural Engineering,"Pantnagar, Uttarakhand",JEE,"Fees:  ₹ 222,356"
"Institute of Aeronautical Engineering, Dundigal",B.Tech Aeronautical Engineering,"Domara Pocham Pally, Telangana",TS,"Fees:  ₹ 268,000"
"Rajalakshmi Engineering College, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"MVJ College of Engineering, Bangalore",B.Tech Aeronautical Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 923,000"
"Sri Ramakrishna Engineering College, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"MLR Institute of Technology, Dundigal",B.Tech Aeronautical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 280,000"
"Hindusthan College of Engineering and Technology, Coimbatore",BE Aeronautical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Sandip University, Nashik",B.Tech Aeronautical Engineering,"Nashik, Maharashtra",NA,NA
"Sethu Institute of Technology, Kariapatti",BE Agriculture Engineering,"S.Kallupatti, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Srinivas Institute of Technology, Mangalore",BE Aeronautical Engineering,"Arkula, Karnataka",COMEDK,"Fees:  ₹ 316,000"
"SNS College of Technology, Coimbatore",BE Agricultural Engineering,"Kurumbapalayam, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"ACS College of Engineering, Bangalore",BE Aeronautical Engineering,"Bangalore, Karnataka",NA,"Exams:  JEE Main ,  COMEDK UGET ,  KCET "
"Dr MGR Educational and Research Institute, Chennai",B.Tech Aeronautical Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 640,000"
"Vignan's Foundation for Science Technology and Research, Guntur",B.Tech Agricultural Engineering,"Guntur, Andhra Pradesh",JEE,"Fees:  ₹ 500,000"
"Saveetha Engineering College, Chennai",BE Agriculture Engineering,"Chennai, Tamil Nadu",NA,NA
"The Institutions of Engineers India, Kolkata",B.Tech Agricultural Engineering,"Kolkata, West Bengal",NA,NA
"OPJS University, Rajgarh",B.Tech Agricultural Engineering,"Churu, Rajasthan",NA,NA
"Priyadarshini College of Engineering, Nagpur",BE Aeronautical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 416,000"
"Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology, Chennai",B.Tech Aeronautical Engineering,"Chennai, Tamil Nadu",VTUEEE,"Fees:  ₹ 1,060,000"
"Silver Oak College of Engineering and Technology, Ahmedabad",B.Tech Aeronautical Engineering,"Ahmedabad, Gujarat",NA,"Fees:  ₹ 300,000"
"Sai Nath University, Ranchi",B.Tech Agricultural Engineering,"Ranchi, Jharkhand",NA,NA
"Mahatma Phule Krishi Vidyapeeth, Rahuri",B.Tech Agricultural Engineering,"Digras, Maharashtra",NA,NA
"NIMS University, Jaipur",B.Tech Agricultural Engineering,"Jaipur, Rajasthan",NA,"Fees:  ₹ 320,000"
"Annasaheb Dange College of Engineering and Technology, Sangli",BE Aeronautical Engineering,"Ashta, Maharashtra",JEE,"Fees:  ₹ 316,000"
"Bharath Institute of Higher Education and Research, Chennai",B.Tech Aeronautical Engineering,"Chennai, Tamil Nadu",BEEE,"Fees:  ₹ 600,000"
"Amity University, Noida",B.Tech Aeronautical Engineering,"Noida, Uttar Pradesh",Amity,"Fees:  ₹ 1,244,000"
"ITM University, Gwalior",B.Tech Agricultural Engineering,"Gwalior, Madhya Pradesh",JEE,"Fees:  ₹ 580,000"
"Adhiyamaan College of Engineering, Hosur",BE Aeronautical Engineering,"Krishnagiri, Tamil Nadu",NA,"Fees:  ₹ 280,000"
"SJC Institute of Technology, Chickballapur",BE Aeronautical Engineering,"Chikkaballapura, Karnataka",JEE,"Fees:  ₹ 280,000"
"Swami Vivekanand University, Sagar",B.Tech Aeronautical Engineering,"Sironja, Madhya Pradesh",NA,NA
"Siddhartha Institute of Engineering and Technology, Puttur",B.Tech Agricultural Engineering,"Puttur, Andhra Pradesh",AP,"Fees:  ₹ 290,000"
"KCG College of Technology, Chennai",BE Aeronautical Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Mangalore Institute of Technology and Engineering, Mangalore",BE Aeronautical Engineering,"Mangalore, Karnataka",NA,"Fees:  ₹ 500,000"
"Centurion University of Technology and Management, Bhubaneswar",B.Tech Agriculture Engineering,"Khurda, Odisha",JEE,"Fees:  ₹ 500,000"
"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology, Udaipur",B.Tech Agricultural Engineering,"Udaipur, Rajasthan",JEE,"Fees:  ₹ 191,290"
"Excel Engineering College, Namakkal",BE Aeronautical Engineering,"Pallakapalayam, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"Kalasalingam Academy of Research and Education, Virudhunagar",B.Tech Agriculture Engineering,"Krishnan Kovil, Tamil Nadu",NA,"Fees:  ₹ 530,000"
"Desh Bhagat University, Mandi Gobindgarh",B.Tech Aeronautical Engineering,"Mandi Gobindgarh, Punjab",NA,NA
"Nehru Institute of Engineering and Technology, Coimbatore",BE Aeronautical Engineering,"Thirumalayampalayam, Tamil Nadu",NA,"Fees:  ₹ 2,80,000"
