Name,Branch,Place,Exams Accepted,Fees
Indian Institute of Technology Bombay,B.Tech Computer Science and Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 845,600"
"Dayananda Sagar College of Engineering, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 198,000"
"College of Engineering, Pune",B.Tech Computer Engineering,"Pune, Maharashtra",MAHA,"Fees:  ₹ 346,400"
"Lovely Professional University, Phagwara",B.Tech Computer Science and Engineering,"Phagwara, Punjab",JEE,"Fees:  ₹ 740,000"
"RV College of Engineering, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 222,000"
"PSG College of Technology, Coimbatore",BE Computer Science and Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 85,820"
"Delhi Technological University, Delhi",B.Tech Computer Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 780,800"
"SRM Institute of Science and Technology, Chennai",B.Tech Computer Science and Engineering,"Kattankulathur, Tamil Nadu",JEE,"Fees:  ₹ 1,000,000"
"Vellore Institute of Technology, Vellore",B.Tech Computer Science and Engineering,"Vellore, Tamil Nadu",VITEEE,"Fees:  ₹ 780,000"
"BMS College of Engineering, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 3,400,000"
"Dr Vishwanath Karad MIT World Peace University, Pune",B.Tech Computer Science and Engineering,"Pune, Maharashtra",NA,"Exams:  JEE Main ,  MAHA CET "
Indian Institute of Technology Madras,B.Tech Computer Science and Engineering,"Chennai, Tamil Nadu",NA,Exams:  JEE Advanced 
Indian Institute of Engineering Science and Technology Shibpur,B.Tech Computer Science and Technology,"Howrah, West Bengal",JEE,"Fees:  ₹ 510,500"
"Jadavpur University, Kolkata",BE Computer Science and Engineering,"Kolkata, West Bengal",WBJEE,"Fees:  ₹ 9,600"
Indian Institute of Technology Delhi,B.Tech Computer Science and Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 839,800"
"Amrita School of Engineering, Coimbatore",B.Tech Computer Science and Engineering,"Coimbatore, Tamil Nadu",JEE,"Fees:  ₹ 1,040,000"
"Jamia Millia Islamia, New Delhi",B.Tech Computer Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 64,600"
"Bangalore Institute of Technology, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 105,000"
"LD College of Engineering, Ahmedabad",BE Computer Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 10,100"
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",B.Tech Computer Engineering,"Pune, Maharashtra",MAHA,"Fees:  ₹ 480,000"
"Heritage Institute of Technology, Kolkata",B.Tech Computer Science and Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 393,400"
"Veermata Jijabai Technological Institute, Mumbai",B.Tech Computer Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 308,746"
Sardar Vallabhbhai National Institute of Technology Surat,B.Tech Computer Engineering,"Surat, Gujarat",JEE,"Fees:  ₹ 531,500"
"College of Engineering, Trivandrum",B.Tech Computer Science Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 48,425"
"Vishwakarma Institute of Technology, Pune",B.Tech Computer Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 717,516"
"Birla Institute of Technology, Mesra",B.Tech Computer Science Engineering,"Ranchi, Jharkhand",JEE,"Fees:  ₹ 954,000"
"Manipal University, Jaipur",B.Tech Computer Science and Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 1,145,000"
"Techno India University, Kolkata",B.Tech Computer Science and Engineering,"Kolkata, West Bengal",NA,"Exams:  JEE Main ,  TJEE ,  WBJEE "
"BITS Pilani- Hyderabad Campus, Hyderabad",BE Computer Science Engineering,"Hyderabad, Telangana",NA,NA
"Integral University, Lucknow",B.Tech Computer Science Engineering,"Lucknow, Uttar Pradesh",JEE,"Fees:  ₹ 560,000"
National Institute of Technology Tiruchirappalli,B.Tech Computer Science and Engineering,"Tiruchirappalli, Tamil Nadu",JEE,"Fees:  ₹ 576,800"
"Reva University, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",NA,"Exams:  COMEDK UGET ,  REVA University Entrance Exam ,  KCET "
Indian Institute of Technology Kharagpur,B.Tech Computer Science and Engineering,"Kharagpur, West Bengal",JEE,"Fees:  ₹ 847,500"
"Government College of Technology, Coimbatore",BE Computer Science and Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 33,120"
Dr B R Ambedkar National Institute of Technology Jalandhar,B.Tech Computer Science and Engineering,"Jalandhar, Punjab",JEE,"Fees:  ₹ 565,600"
"MIT College of Engineering, Pune",B.Tech Computer Science and Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 1,180,000"
