Name,Branch,Place,Exams Accepted,Fees
"Dayananda Sagar College of Engineering, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 198,000"
"College of Engineering, Pune",B.Tech Electronics and Telecommunication Engineering,"Pune, Maharashtra",MAHA,"Fees:  ₹ 346,400"
"Lovely Professional University, Phagwara",B.Tech Electronics and Communication Engineering,"Phagwara, Punjab",JEE,"Fees:  ₹ 740,000"
"RV College of Engineering, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 222,000"
"PSG College of Technology, Coimbatore",BE Electronics and Communication Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 85,820"
"Manipal Institute of Technology, Manipal",B.Tech Electronics and Communication Engineering,"Manipal, Karnataka",MET,"Fees:  ₹ 1,540,000"
"Delhi Technological University, Delhi",B.Tech Electronics and Communication Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 780,800"
"SRM Institute of Science and Technology, Chennai",B.Tech Electronics and Communication Engineering,"Kattankulathur, Tamil Nadu",JEE,"Fees:  ₹ 1,000,000"
"Vellore Institute of Technology, Vellore",B.Tech Electronics and Communication Engineering,"Vellore, Tamil Nadu",VITEEE,"Fees:  ₹ 780,000"
"BMS College of Engineering, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 2,400,000"
"Ramaiah Institute of Technology, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 313,000"
Indian Institute of Engineering Science and Technology Shibpur,B.Tech Electronics and Telecommunication Engineering,"Howrah, West Bengal",JEE,"Fees:  ₹ 510,500"
"Jadavpur University, Kolkata",BE Electronics and Telecommunication Engineering,"Kolkata, West Bengal",WBJEE,"Fees:  ₹ 9,600"
"Amrita School of Engineering, Coimbatore",B.Tech Electronics and Communication Engineering,"Coimbatore, Tamil Nadu",JEE,"Fees:  ₹ 1,040,000"
"Jamia Millia Islamia, New Delhi",B.Tech Electronics and Communication Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 64,600"
"Bangalore Institute of Technology, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 105,000"
"LD College of Engineering, Ahmedabad",BE Electronics and Communication Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 10,100"
"School of Engineering, University of Petroleum and Energy Studies, Dehradun",B.Tech Electronics and Communication Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 1,390,250"
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",B.Tech Electronics and Telecommunication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 480,000"
"Heritage Institute of Technology, Kolkata",B.Tech Electronics and Communication Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 393,400"
"Veermata Jijabai Technological Institute, Mumbai",B.Tech Electronics and Telecommunication Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 308,746"
"KJ Somaiya College of Engineering, Mumbai",B.Tech Electronics and Telecommunication Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 676,305"
Sardar Vallabhbhai National Institute of Technology Surat,B.Tech Electronics and Communication Engineering,"Surat, Gujarat",JEE,"Fees:  ₹ 531,500"
"College of Engineering, Trivandrum",B.Tech Electronics and Communication Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 48,425"
"Vishwakarma Institute of Technology, Pune",B.Tech Electronics and Telecommunication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 717,516"
"Birla Institute of Technology, Mesra",B.Tech Electronics and Communication Engineering,"Ranchi, Jharkhand",JEE,"Fees:  ₹ 954,000"
"Manipal University, Jaipur",B.Tech Computer and Communication Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 1,145,000"
"Punjab Engineering College, Chandigarh",BE Electronics and Communication Engineering,"Chandigarh, Chandigarh",NA,"Fees:  ₹ 536,000"
"Techno India University, Kolkata",B.Tech Electronics and Communications Engineering,"Kolkata, West Bengal",NA,"Exams:  JEE Main ,  WBJEE "
"Symbiosis Institute of Technology, Pune",B.Tech Electronics and Telecommunication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 1,040,000"
"Army Institute of Technology, Pune",BE Electronics and Telecommunication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 619,170"
"BITS Pilani- Hyderabad Campus, Hyderabad",BE Electronics and Communication Engineering Hons,"Hyderabad, Telangana",NA,NA
"Integral University, Lucknow",B.Tech Electronics and Communication Engineering,"Lucknow, Uttar Pradesh",JEE,"Fees:  ₹ 500,000"
National Institute of Technology Tiruchirappalli,B.Tech Electronics and Communication Engineering,"Tiruchirappalli, Tamil Nadu",JEE,"Fees:  ₹ 576,800"
"Kumaraguru College of Technology, Coimbatore",BE Electronics and Communication Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Andhra University College of Engineering, Visakhapatnam",BE Electronics and Communication Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 40,000"
"Nirma University, Ahmedabad",B.Tech Electronics and Communication Engineering,"Ahmedabad, Gujarat",JEE,"Fees:  ₹ 761,200"
"Reva University, Bangalore",B.Tech Electronics and Communication Engineering,"Bangalore, Karnataka",NA,"Exams:  COMEDK UGET ,  REVA University Entrance Exam ,  KCET "
Motilal Nehru National Institute of Technology Allahabad Prayagraj,B.Tech Electronics and Communication Engineering,"Allahabad, Uttar Pradesh",NA,"Fees:  ₹ 544,000"
Indian Institute of Technology Kharagpur,B.Tech Electronics and Electrical Communication Engineering,"Kharagpur, West Bengal",JEE,"Fees:  ₹ 847,500"
"Government College of Technology, Coimbatore",BE Electronics and Communication Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 33,120"
Dr B R Ambedkar National Institute of Technology Jalandhar,B.Tech Electronics and Communication Engineering,"Jalandhar, Punjab",JEE,"Fees:  ₹ 565,600"
"MIT College of Engineering, Pune",B.Tech Electronics and Communication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 1,180,000"
"College of Engineering, Guindy",BE Electronics and Communication Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 129,560"
"Chandigarh University, Chandigarh",BE Electronics and Communication Engineering,"Chandigarh, Punjab",NA,"Fees:  ₹ 654,000"
"Bannari Amman Institute of Technology, Erode",BE Electronics and Communication Engineering,"Erode, Tamil Nadu",JEE,"Fees:  ₹ 220,000"
"AISSMS College of Engineering, Pune",BE Electronics and Telecommunication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 437,000"
"LNM Institute of Information Technology, Jaipur",B.Tech Electronics and Communication Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 1,120,000"
National Institute of Technology Karnataka Surathkal,B.Tech Electronics and Communication Engineering,"Mangaluru, Karnataka",JEE,"Fees:  ₹ 534,479"
Indian Institute of Technology Roorkee,B.Tech Electronics and Communication Engineering,"Roorkee, Uttarakhand",JEE,"Fees:  ₹ 855,000"
"VIT University, Chennai",B.Tech Electronics and Communication Engineering,"Kelambakkam, Tamil Nadu",VITEEE,"Fees:  ₹ 780,000"
Visvesvaraya National Institute of Technology Nagpur,B.Tech Electronics and Communication Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 540,300"
"BITS Pilani, Goa Campus",BE Electronics and Communication Engineering,"Chicalim, Goa",BITSAT,"Fees:  ₹ 1,624,800"
"MBM Engineering College, Jodhpur",B.Tech Electronics and Computer Engineering,"Jodhpur, Rajasthan",NA,"Fees:  ₹ 220,000"
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",B.Tech Electronics and Communication Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 434,200"
"Acharya Institute of Technology, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 188,000"
National Institute of Technology Warangal,B.Tech Electronics and Communication Engineering,"Warangal, Telangana",JEE,"Fees:  ₹ 500,000"
"St Joseph's College of Engineering, Chennai",BE Electronics and Communication Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Dr Ambedkar Institute of Technology, Bangalore",B.Tech Electronics and Communication Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 213,840"
"Chaitanya Bharathi Institute of Technology, Hyderabad",BE Electronics and Communication Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 800,000"
"Sinhgad College of Engineering, Pune",BE Electronics and Telecommunication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 5,00,608"
"Sathyabama Institute of Science and Technology, Chennai",BE Electronics and Communication Engineering,"Chennai, Tamil Nadu",SAEEE,"Fees:  ₹ 85,000"
"Mukesh Patel School of Technology Management and Engineering, Mumbai",B.Tech Electronics and Telecommunication Engineering,"Mumbai, Maharashtra",NPAT,"Fees:  ₹ 11,60,000"
"School of Engineering and Technology, Jain University, Bangalore",B.Tech Electronics and Communication Engineering,"Bangalore, Karnataka",NA,"Exams:  Uni-Gauge-E ,  JET "
"Ajay Kumar Garg Engineering College, Ghaziabad",B.Tech Electronics and Communication Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 4,83,024"
"Indraprastha Institute of Information Technology, Delhi",B.Tech Electronics and Communications Engineering,"New Delhi, Delhi",NA,"Fees:  ₹ 14,00,000"
"Government College of Engineering, Aurangabad",BE Electronics and Telecommunication Engineering,"Aurangabad, Maharashtra",NA,"Fees:  ₹ 3,23,921"
"JSS Science and Technology University, Mysuru",BE Electronics and Communication Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 64,000"
"Madras Institute of Technology, Chennai",BE Electronics and Communication Engineering,"Chennai, Tamil Nadu",NA,NA
"Nitte Meenakshi Institute of Technology, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 2,43,000"
"AAA College of Engineering and Technology, Thiruthangal",BE Electronics and Communication Engineering,"Virudhunagar, Tamil Nadu",NA,NA
"University Visvesvaraya College of Engineering, Bangalore",BE Electronics and Communication Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 90,360"
"Maharashtra Institute of Technology, Pune",BE Electronics and Telecommunication Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 10,40,000"
"JNTUH College of Engineering, Hyderabad",B.Tech Electronics and Communication Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 40,000"
"Jamia Hamdard, New Delhi",B.Tech Electronics and Communication Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 6,95,000"
