Name,Branch,Place,Exams Accepted,Fees
"Dayananda Sagar College of Engineering, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 198,000"
"Lovely Professional University, Phagwara",B.Tech Electrical and Electronics Engineering,"Phagwara, Punjab",JEE,"Fees:  ₹ 740,000"
"RV College of Engineering, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 222,000"
"PSG College of Technology, Coimbatore",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 85,820"
"Manipal Institute of Technology, Manipal",B.Tech Electrical and Electronics Engineering,"Manipal, Karnataka",MET,"Fees:  ₹ 1,540,000"
"Delhi Technological University, Delhi",B.Tech Electrical and Electronics Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 780,800"
"SRM Institute of Science and Technology, Chennai",B.Tech Electrical and Electronics Engineering,"Kattankulathur, Tamil Nadu",JEE,"Fees:  ₹ 1,000,000"
"Vellore Institute of Technology, Vellore",B.Tech Electrical and Electronics Engineering,"Vellore, Tamil Nadu",VITEEE,"Fees:  ₹ 692,000"
"BMS College of Engineering, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,800,000"
"Ramaiah Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 313,000"
"Amrita School of Engineering, Coimbatore",B.Tech Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",JEE,"Fees:  ₹ 1,040,000"
"Bangalore Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 105,000"
"College of Engineering, Trivandrum",B.Tech Electrical and Electronics Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 48,425"
"Birla Institute of Technology, Mesra",B.Tech Electrical and Electronics Engineering,"Ranchi, Jharkhand",JEE,"Fees:  ₹ 954,000"
"BITS Pilani- Hyderabad Campus, Hyderabad",BE Electrical and Electronics Engineering,"Hyderabad, Telangana",NA,NA
National Institute of Technology Tiruchirappalli,B.Tech Electrical and Electronics Engineering,"Tiruchirappalli, Tamil Nadu",JEE,"Fees:  ₹ 576,800"
"Kumaraguru College of Technology, Coimbatore",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Andhra University College of Engineering, Visakhapatnam",BE Electrical and Electronics Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 40,000"
"Reva University, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",NA,"Exams:  COMEDK UGET ,  REVA University Entrance Exam ,  KCET "
"Government College of Technology, Coimbatore",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 33,120"
"College of Engineering, Guindy",BE Electrical and Electronics Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 129,560"
"Chandigarh University, Chandigarh",BE Electrical and Electronics Engineering Lateral Entry,"Chandigarh, Punjab",NA,"Fees:  ₹ 495,550"
"Bannari Amman Institute of Technology, Erode",BE Electrical and Electronics Engineering,"Erode, Tamil Nadu",JEE,"Fees:  ₹ 220,000"
National Institute of Technology Karnataka Surathkal,B.Tech Electrical and Electronics Engineering,"Mangaluru, Karnataka",JEE,"Fees:  ₹ 534,479"
