Name,Branch,Place,Exams Accepted,Fees
Indian Institute of Technology Bombay,B.Tech Mechanical Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 845,600"
"Dayananda Sagar College of Engineering, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 198,000"
"College of Engineering, Pune",B.Tech Mechanical Engineering,"Pune, Maharashtra",MAHA,"Fees:  ₹ 346,400"
"Lovely Professional University, Phagwara",B.Tech Mechanical Engineering,"Phagwara, Punjab",JEE,"Fees:  ₹ 740,000"
"RV College of Engineering, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 222,000"
"PSG College of Technology, Coimbatore",BE Mechanical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 86,520"
"Manipal Institute of Technology, Manipal",B.Tech Mechanical Engineering,"Manipal, Karnataka",MET,"Fees:  ₹ 1,540,000"
"Maharaja Sayajirao University of Baroda, Vadodara",BE Mechanical Engineering,"Vadodara, Gujarat",GUJCET,"Fees:  ₹ 35,500"
"Delhi Technological University, Delhi",B.Tech Mechanical Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 780,800"
"SRM Institute of Science and Technology, Chennai",B.Tech Mechanical Engineering,"Kattankulathur, Tamil Nadu",JEE,"Fees:  ₹ 1,000,000"
"Vellore Institute of Technology, Vellore",B.Tech Mechanical Engineering,"Vellore, Tamil Nadu",VITEEE,"Fees:  ₹ 780,000"
"BMS College of Engineering, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 2,400,000"
"Ramaiah Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 313,000"
Indian Institute of Technology Madras,B.Tech Mechanical Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 813,550"
Indian Institute of Engineering Science and Technology Shibpur,B.Tech Mechanical Engineering,"Howrah, West Bengal",NA,"Fees:  ₹ 510,500"
"Jadavpur University, Kolkata",BE Mechanical Engineering,"Kolkata, West Bengal",WBJEE,"Fees:  ₹ 9,600"
Indian Institute of Technology Delhi,B.Tech Mechanical Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 839,800"
"Amrita School of Engineering, Coimbatore",B.Tech Mechanical Engineering,"Coimbatore, Tamil Nadu",JEE,"Fees:  ₹ 1,040,000"
"Jamia Millia Islamia, New Delhi",B.Tech Mechanical Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 64,600"
"Bangalore Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 105,000"
"LD College of Engineering, Ahmedabad",BE Mechanical Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 10,100"
"School of Engineering, University of Petroleum and Energy Studies, Dehradun",B.Tech Mechanical Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 1,528,000"
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",B.Tech Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 480,000"
"Heritage Institute of Technology, Kolkata",B.Tech Mechanical Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 393,400"
"Veermata Jijabai Technological Institute, Mumbai",B.Tech Mechanical Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 308,746"
"KJ Somaiya College of Engineering, Mumbai",B.Tech Mechanical Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 676,305"
Sardar Vallabhbhai National Institute of Technology Surat,B.Tech Mechanical Engineering,"Surat, Gujarat",JEE,"Fees:  ₹ 531,500"
"College of Engineering, Trivandrum",B.Tech Mechanical Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 48,425"
"Vishwakarma Institute of Technology, Pune",B.Tech Mechanical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 717,516"
"Birla Institute of Technology, Mesra",B.Tech Mechanical Engineering,"Ranchi, Jharkhand",JEE,"Fees:  ₹ 954,000"
"Manipal University, Jaipur",B.Tech Mechanical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 1,145,000"
"Punjab Engineering College, Chandigarh",BE Mechanical Engineering,"Chandigarh, Chandigarh",NA,"Fees:  ₹ 536,000"
"Techno India University, Kolkata",B.Tech Mechanical Engineering,"Kolkata, West Bengal",NA,"Exams:  JEE Main ,  WBJEE "
