Name,Branch,Place,Exams Accepted,Fees
Indian Institute of Technology Bombay,B.Tech Civil Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 8,45,600"
"Dayananda Sagar College of Engineering, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,98,000"
"College of Engineering, Pune",B.Tech Civil Engineering,"Pune, Maharashtra",MAHA,"Fees:  ₹ 3,46,400"
"Lovely Professional University, Phagwara",B.Tech Civil Engineering,"Phagwara, Punjab",JEE,"Fees:  ₹ 7,40,000"
"RV College of Engineering, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 2,22,000"
"PSG College of Technology, Coimbatore",BE Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 85,820"
"Manipal Institute of Technology, Manipal",B.Tech Civil Engineering,"Manipal, Karnataka",MET,"Fees:  ₹ 15,40,000"
"Maharaja Sayajirao University of Baroda, Vadodara",BE Civil Engineering,"Vadodara, Gujarat",GUJCET,"Fees:  ₹ 35,500"
"Delhi Technological University, Delhi",B.Tech Civil Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 7,80,800"
"SRM Institute of Science and Technology, Chennai",B.Tech Civil Engineering,"Kattankulathur, Tamil Nadu",JEE,"Fees:  ₹ 10,00,000"
"Vellore Institute of Technology, Vellore",B.Tech Civil Engineering,"Vellore, Tamil Nadu",VITEEE,"Fees:  ₹ 6,92,000"
"BMS College of Engineering, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 18,00,000"
"Ramaiah Institute of Technology, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 3,13,000"
Indian Institute of Technology Madras,B.Tech Civil Engineering,"Chennai, Tamil Nadu",NA,Exams:  JEE Advanced 
Indian Institute of Engineering Science and Technology Shibpur,B.Tech Civil Engineering,"Howrah, West Bengal",JEE,"Fees:  ₹ 5,10,500"
"Jadavpur University, Kolkata",BE Civil Engineering,"Kolkata, West Bengal",WBJEE,"Fees:  ₹ 9,600"
Indian Institute of Technology Delhi,B.Tech Civil Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 8,39,800"
"Amrita School of Engineering, Coimbatore",B.Tech Civil Engineering,"Coimbatore, Tamil Nadu",JEE,"Fees:  ₹ 10,40,000"
"Jamia Millia Islamia, New Delhi",B.Tech Civil Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 64,600"
"Bangalore Institute of Technology, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,05,000"
"LD College of Engineering, Ahmedabad",BE Civil Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 10,100"
"School of Engineering, University of Petroleum and Energy Studies, Dehradun",B.Tech Civil Engineering with Specialization in Infrastructure Development,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 14,24,000"
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",B.Tech Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 4,80,000"
"Heritage Institute of Technology, Kolkata",B.Tech Civil Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 3,93,400"
"Veermata Jijabai Technological Institute, Mumbai",B.Tech Civil Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 3,08,746"
Sardar Vallabhbhai National Institute of Technology Surat,B.Tech Civil Engineering,"Surat, Gujarat",JEE,"Fees:  ₹ 5,31,500"
"College of Engineering, Trivandrum",B.Tech Civil Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 48,433"
"Birla Institute of Technology, Mesra",B.Tech Civil Engineering,"Ranchi, Jharkhand",JEE,"Fees:  ₹ 9,54,000"
"Manipal University, Jaipur",B.Tech Civil Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 11,45,000"
"Punjab Engineering College, Chandigarh",BE Civil Engineering,"Chandigarh, Chandigarh",JEE,"Fees:  ₹ 5,36,000"
"Techno India University, Kolkata",B.Tech Civil Engineering,"Kolkata, West Bengal",NA,"Exams:  JEE Main ,  WBJEE "
"Symbiosis Institute of Technology, Pune",B.Tech Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 10,40,000"
"BITS Pilani- Hyderabad Campus, Hyderabad",BE Civil Engineering Hons,"Hyderabad, Telangana",NA,NA
"Integral University, Lucknow",B.Tech Civil Engineering,"Lucknow, Uttar Pradesh",JEE,"Fees:  ₹ 5,60,000"
National Institute of Technology Tiruchirappalli,B.Tech Civil Engineering,"Tiruchirappalli, Tamil Nadu",JEE,"Fees:  ₹ 5,76,800"
"Kumaraguru College of Technology, Coimbatore",BE Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 2,20,000"
"Andhra University College of Engineering, Visakhapatnam",BE Civil Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 40,000"
"Nirma University, Ahmedabad",B.Tech Civil Engineering,"Ahmedabad, Gujarat",JEE,"Fees:  ₹ 7,61,200"
"Reva University, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",NA,"Exams:  COMEDK UGET ,  REVA University Entrance Exam ,  KCET "
Motilal Nehru National Institute of Technology Allahabad Prayagraj,B.Tech Civil Engineering,"Allahabad, Uttar Pradesh",JEE,"Fees:  ₹ 5,44,000"
Indian Institute of Technology Kharagpur,B.Tech Civil Engineering,"Kharagpur, West Bengal",JEE,"Fees:  ₹ 8,47,500"
"Government College of Technology, Coimbatore",BE Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 33,120"
Dr B R Ambedkar National Institute of Technology Jalandhar,B.Tech Civil Engineering,"Jalandhar, Punjab",JEE,"Fees:  ₹ 5,65,600"
"MIT College of Engineering, Pune",B.Tech Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 11,80,000"
"College of Engineering, Guindy",BE Civil Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 1,29,560"
